title,date,pos,neg,neu,index
Why Biden is only just about to face his first veto,2023-03-03,0,1,0,0.0
DOJ ramps up its allegations that Texas is 'judge-shopping' in cases against Biden,2023-03-03,0,0,1,1.0
Michigan threats deepen America's dangerous nexus between antisemitism and political violence,2023-03-03,0,1,0,2.0
Fair and Balanced? Murdoch's private messages show Fox News was instructed to help Republicans,2023-03-03,0,1,0,3.0
Jim Jordan's first FBI whistleblowers face scrutiny from skeptical Democrats,2023-03-03,0,0,1,4.0
Opinion: How a third party could unintentionally lead to a Trump 2024 victory,2023-03-02,0,0,1,5.0
Justice Department pushes back on Trump's sweeping claims of presidential immunity for January 6 speech,2023-03-02,0,1,0,6.0
Five times Chris Rock said the thing out loud,2023-03-02,0,0,1,7.0
"DeSantis says GOP will not 'mess with Social Security,' as Democrats and Trump slam his past support for privatization",2023-03-02,0,0,1,8.0
White House releases ambitious cyber strategy calling for more regulation of vulnerable sectors,2023-03-02,0,0,1,9.0
Opinion: What went right and wrong on Covid,2023-03-01,0,0,1,10.0
Fact check: Zelensky didn't say American sons and daughters have to fight in Ukraine,2023-03-02,0,0,1,11.0
Opinion: The recipe for Ron DeSantis' success,2023-03-02,0,0,1,12.0
Dueling CPAC and Club for Growth events highlight divide within GOP ahead of 2024,2023-03-02,0,0,1,13.0
Biden's first-ever veto might be against the GOP war on 'woke' capitalism,2023-03-02,0,1,0,14.0
Opinion: Lori Lightfoot's fatal political mistake,2023-03-01,0,1,0,15.0
A lot of conservative 'churn' as Fox News is unmasked,2023-03-01,0,1,0,16.0
Takeaways from Attorney General Merrick Garland's Senate Judiciary Committee hearing,2023-03-01,0,0,1,17.0
Opinion: Ron DeSantis' new book offers a powerful warning to the US electorate,2023-03-01,0,1,0,18.0
Colorado discipline office moves toward ethics complaint against ex-Trump attorney for 2020 election gambits,2023-02-24,0,1,0,19.0
Paul Ryan grilled for remaining on Fox board of directors amid election fraud revelations,2023-03-01,0,1,0,20.0
The best moments from Tapper's one-on-one with Bill Maher,2023-03-01,0,0,1,21.0
Fact check: Marjorie Taylor Greene falsely claims Biden administration is responsible for Michigan brothers' fentanyl deaths during Trump administration,2023-03-01,0,0,1,22.0
"Near bomb-grade level uranium found in Iranian nuclear plant, says IAEA report",2023-03-01,0,1,0,23.0
"Fox executives should be fired for 'proven misconduct' exposed in Dominion lawsuit, renowned Yale professor says",2023-03-01,0,1,0,24.0
Fox learns the hard way about being beholden to the GOP base,2023-03-01,0,1,0,25.0
Biden administration embraces tough border measures it once rejected,2023-03-01,0,1,0,26.0
House's MAGA wing torn over Trump as loyalists eye other 2024 candidates,2023-03-01,0,0,1,27.0
Opinion: Who's stopping the government from giving Americans relief from crushing student loans,2023-03-01,0,0,1,28.0
The fastest growing metro in the US is looking to a shrinking reservoir to keep the boom going,2023-02-28,0,0,1,29.0
Biden administration tells student loan forgiveness applicants it is 'confident' in face of Supreme Court skepticism,2023-02-28,0,0,1,30.0
Supreme Court considers fate of Biden's student loan relief plan,2023-02-24,0,0,1,31.0
Fox faces an 'existential threat' from its multibillion-dollar defamation cases,2023-02-28,0,1,0,32.0
Top US Defense official says Iran could produce 'one bomb's worth of fissile material' in 'about 12 days',2023-02-28,0,1,0,33.0
US is reviewing Huawei export license policy amid rising congressional scrutiny of China,2023-02-28,0,0,1,34.0
Blinken's new warning to Beijing is the latest sign of deteriorating US-China relations,2023-02-28,0,1,0,35.0
Top Republicans question McCarthy over release of January 6 footage as speaker vows deliberate approach,2023-02-28,0,1,0,36.0
Four takeaways from DeSantis' new book rehashing his culture clashes as Florida governor,2023-02-27,0,0,1,37.0
What to watch for as the Supreme Court hears oral arguments on Biden's student loan debt relief plan,2023-02-28,0,0,1,38.0
The 10 biggest revelations from Dominion's explosive Fox News legal filing,2023-02-28,0,1,0,39.0
Rupert Murdoch acknowledged that Fox News hosts endorsed false stolen election claims,2023-02-27,0,1,0,40.0
Covid 'lab leak theory': What we've learned,2023-02-27,0,0,1,41.0
Opinion: Scott Adams has only himself to blame for Dilbert's troubles,2023-02-27,0,0,1,42.0
Rep. Elissa Slotkin entering race to succeed retiring Michigan Democratic Sen. Debbie Stabenow,2023-02-27,0,0,1,43.0
New assessment on the origins of Covid-19 adds to the confusion,2023-02-27,0,1,0,44.0
GOP grapples with how to control Trump -- again,2023-02-27,0,1,0,45.0
RNC chair says requiring loyalty pledge for participation in GOP presidential debates is a 'no-brainer',2023-02-26,0,0,1,46.0
Opinion: Tim Scott's pitch to Republicans offers more than the usual red meat,2023-02-26,0,1,0,47.0
Opinion: The message Biden sent to Putin,2023-02-26,0,1,0,48.0
Ron DeSantis wanted to send weapons to Ukraine when he was a congressman -- as a presidential hopeful he questions US involvement,2023-02-26,0,1,0,49.0
Media organizations ask Congress for access to January 6 footage,2023-02-25,0,1,0,50.0
DeSantis has a new book coming out next week. Here's what his first one said,2023-02-25,0,1,0,51.0
"Rep. Scott Perry was 'persistent' in contacting executive branch around 2020 election, court documents reveal",2023-02-25,0,1,0,52.0
A first report on the Ohio toxic train wreck was released. Here's what it found — and what investigators are still looking into,2023-02-24,0,0,1,53.0
"Biden: 'At this point I'm not' planning to visit East Palestine, Ohio, after toxic train derailment",2023-02-25,0,0,1,54.0
"12 blue states sue FDA, saying it's too strict in limiting abortion drugs as legal battle over mifepristone heats up",2023-02-25,0,0,1,55.0
