title,date,index,neg_s,neu_s,pos_s,compound_s,neg,neu,pos,compound
Ilhan Omar labeled a 'liar' after claiming she was unaware of 'tropes about Jews and money:' 'Give me a break' - Fox News,2023-01-30T12:00:00Z,0.0,0.023107142857142857,0.1759642857142857,0.015214285714285711,-0.02922857142857143,0.079,0.862,0.059,-0.9202
"Condemns Kanye, Fuentes, antisemitism...",2023-01-27T21:13:37Z,1.0,0.0070999999999999995,0.09290000000000001,0.0,-0.03182,0.085,0.859,0.056,-0.9668
A handful of Republicans may save Ilhan Omar's committee seat - Fox News,2023-01-30T19:56:00Z,2.0,0.005233333333333334,0.09156666666666666,0.0032,-0.0003766666666666677,0.06,0.889,0.051,-0.4552
Iran shows off new deadly missile with 'death to Israel' written on it,2023-02-09T16:55:04Z,3.0,0.06323076923076923,0.3618461538461539,0.03646153846153846,-0.17408461538461537,0.142,0.779,0.079,-0.9885
Israel to send earthquake aid to old foe Syria in a rare example of cooperation between enemy neighbors,2023-02-06T19:20:57Z,4.0,0.09722222222222222,0.54,0.029222222222222222,-0.3817555555555556,0.096,0.844,0.061,-0.9629
"Turkey hit with 7.8 magnitude earthquake, felt across Middle East",2023-02-06T02:23:18Z,5.0,0.0,0.16666666666666666,0.0,0.0,0.097,0.87,0.033,-0.9231
New York Times faces billboard campaign from Orthodox Jewish group over ‘crusade’ against religious schools,2023-02-09T17:15:31Z,6.0,0.004386363636363636,0.16286363636363638,0.01452272727272727,0.04865,0.083,0.838,0.079,-0.9036
"Iran blames Israel for drone strike caught on video, threatens retaliation",2023-02-02T14:33:47Z,7.0,0.04675,0.376125,0.014687500000000001,-0.16990625,0.12,0.845,0.035,-0.9943
"San Francisco Jewish center members 'paralyzed with fear' when man enters, fires gun: video",2023-02-06T00:16:31Z,8.0,0.0,0.0,0.0,0.0,0.157,0.828,0.016,-0.9954
"Gaetz 'undecided' on removing Omar from Foreign Affairs Committee, says McCarthy 'deserves deference'",2023-01-31T14:47:06Z,9.0,0.003379310344827586,0.0606551724137931,0.004965517241379311,0.007868965517241379,0.062,0.872,0.066,-0.5058
Russia warns Israel against providing arms to Ukraine: 'Will lead to an escalation of this crisis',2023-02-01T19:29:47Z,10.0,0.04889473684210526,0.4163684210526316,0.008368421052631579,-0.21795789473684207,0.079,0.867,0.054,-0.9626
