title,date,index,neg_s,neu_s,pos_s,compound_s,pos,neg,neu,compound
"About 160,000 people protest against Netanyahu's judicial overhaul in Tel Aviv",2023-02-26,0.0,0.13354518823325634,0.03179497997784479,0.016478020761331372,0.006636243846258941,0,0,0,0
11 Palestinians killed during Israeli raid targeting militants in West Bank,2023-02-22,1.0,0.0019292872462232235,0.0065857876029055,0.025383232003551418,0.007477697706397151,0,0,0,0
Your flight from Israel might be about to get quicker. Here's why,2023-02-23,2.0,0.0006990281673257842,0.0612434876315734,0.02629277838722748,0.02637251175170499,0,0,0,0
Israel launches airstrikes on Gaza after rocket attacks as violence escalates,2023-02-23,3.0,0.011035487465560436,0.10782666489481926,0.12113784871995449,0.05840244113296285,0,0,0,0
Opinion: Netanyahu's 'reforms' are threatening the very foundations of Israel's democracy,2023-02-21,4.0,0.0897993906612762,0.08790150547230785,0.04957183472156017,-0.007557642402147952,0,0,0,0
Space pods and flying dragons: How Saudi Arabia wants to transform its capital,2023-02-20,5.0,0.001867636198728857,0.012030103676755664,0.00018676779639553015,-0.0028322549551031036,0,0,0,0
Protests across Israel as Netanyahu's government introduces bill to weaken courts,2023-02-20,6.0,0.0399565499705764,0.13937643628854018,0.0898977835985044,0.05622135877021649,0,0,0,0
Thousands protest Netanyahu's plan to weaken Israel's judiciary as president warns of 'social collapse',2023-02-13,7.0,0.06437173982461293,0.07530747324397619,0.042138965532296534,0.02754863722623188,0,0,0,0
Second child dies in car ramming attack in Jerusalem,2023-02-10,8.0,0.0005827538597469146,0.03655844468336839,0.001320342461650188,0.0014015639054310866,0,0,0,0
Opinion: Mitt Romney's moments of truth,2023-02-12,9.0,0.014766274048731877,0.0004968651785300329,0.00012147597108895962,-0.0009447534584891364,0,0,0,0
Opinion: Why Netanyahu is suddenly a lot less friendly with Putin,2023-02-07,10.0,0.06961946949278089,0.2643354482186789,0.14331780370875177,0.05964697283860345,0,0,0,0
Powerful quake kills thousands in Turkey and Syria,2023-02-06,11.0,0.0008594575142119043,0.02642372890495428,0.014796021599599187,0.008724656985615885,0,0,0,0
"5 things to know for February 2: Ice storm, Debt limit, Middle East, Abortion, Crypto",2023-02-02,12.0,0.0007494060695171356,0.02166056752204895,0.01759002558887005,0.005811552352878741,0,0,0,0
Israel targets Gaza with airstrikes after intercepting rocket attack,2023-02-02,13.0,0.05987111727396647,0.004614308973153432,0.002181238929430644,-0.007947987394958216,0,0,0,0
"February 1, 2023 Russia-Ukraine news",2023-01-31,14.0,0.011060041145565523,0.08742272450180272,0.03716392134689382,0.020394272872139022,0,0,0,0
"Opinion: Netanyahu wants peace, but offers few solutions",2023-02-01,15.0,0.081581258668086,0.20015491132397908,0.15069625055341906,0.038116769749452724,0,0,0,0
Netanyahu outlines vision for two-state solution -- without Palestinian sovereignty,2023-02-01,16.0,0.07103760127034603,0.15594156769414744,0.09120264840947295,0.04271278426800111,0,0,0,0
"'It's all empty promises': Palestinians feel betrayed by US, warn there's only so much they can bear",2023-02-01,17.0,0.001718975865514949,0.030824816320091486,0.02995620621368289,0.02559076910496451,0,0,0,0
Exclusive: Netanyahu says don't get 'hung up' on peace with Palestinians first,2023-01-31,18.0,0.27144332678819244,0.26336295559832995,0.1242846224181862,0.0022433401558793337,0,0,0,0
"Blinken visit reaches new urgency as Israeli, Palestinian tensions boil",2023-01-30,19.0,0.039773750529788876,0.032905016916201395,0.015556529712151079,-0.0017459954470297199,0,0,0,0
Antony Blinken Fast Facts,2021-02-25,20.0,0.00029725295587860307,0.028583390959377945,0.005602114673318534,0.008608741026981058,0,0,0,0
"Settlements to be 'strengthened' in wake of Jerusalem attacks, Israeli PM says",2023-01-29,21.0,0.005058692866250088,0.1076503662686599,0.04518568084428185,0.029718379598836112,0,0,0,0
"Two wounded in shooting in Jerusalem, police say, after synagogue attack leaves seven dead",2023-01-28,22.0,0.0006928342101100373,0.02956563560930017,0.01083742133150362,0.012189857812853573,0,0,0,0
"At least seven dead in Jerusalem synagogue attack, Israeli police say",2023-01-27,23.0,0.0017354847906633866,0.050424198771632,0.01760775942442029,0.019409587431332448,0,0,0,0
Blinken to visit Israel and West Bank with tensions high after outbreak of violence,2023-01-27,24.0,0.09642532989382743,0.12441239350785811,0.012495611049234866,-0.013227427997158996,0,0,0,0
"As Israel bans Palestinian flags, one artist protests with his brush",2023-01-25,25.0,0.027552690320344787,0.04781734541560827,0.01451760729293475,-0.0071936239296113355,0,0,0,0
Iran's regime is trying to execute its way out of trouble,2023-01-23,26.0,0.013087141646170303,0.013955174112006238,0.012431366497797794,0.004250854583987935,0,0,0,0
US and Israel launch largest military exercise ever despite concerns over Netanyahu's government,2023-01-23,27.0,0.06262857437683031,0.08000061871149601,0.03685798610632236,-0.003628670623901767,0,0,0,0
Netanyahu dismisses key ally Aryeh Deri after High Court order,2023-01-22,28.0,0.24799198586316334,0.09618599127445902,0.03677440439129159,-0.024141748302094163,0,0,0,0
Israel's democracy on the brink amid supreme court showdown with Netanyahu,2023-01-20,29.0,0.17224033430340838,0.11441969761594398,0.04120882079539607,-0.008305558220097863,0,0,0,0
"Jacinda Ardern, like George Washington, knew when to quit",2023-01-20,30.0,0.013513487318287725,0.002337926431842472,0.005887717008590698,-0.0016371157040870486,0,0,0,0
"Key Netanyahu ally cannot serve as cabinet minister, Israel's top court rules, sparking potential political crisis",2023-01-18,31.0,0.4831539435202585,0.17444249593159733,0.16593296906349303,-0.004377107480239992,0,0,0,0
US has moved munitions stored in Israel for use by Ukraine,2023-01-18,32.0,0.0003893597051501274,0.06377918720245361,0.002498118827740351,0.004029928943067909,0,0,0,0
A major oil exporter is hosting a UN climate summit. Opinions are divided,2023-01-16,33.0,0.04144362509250641,0.0070786911994218825,0.0014776831648002067,-0.009743449085631083,0,0,0,0
"More than 80,000 people turn out for Tel Aviv protest against Netanyahu government",2023-01-14,34.0,0.34325018525123596,0.12090536765754223,0.03584444425844898,-0.10460538072826177,0,0,0,0
Opinion: Don't expect Biden to confront Netanyahu anytime soon,2023-01-04,35.0,0.16825662380163098,0.10137677755416699,0.06839476904871178,-0.034096093018306135,0,0,0,0
Israel's rightward shift leaves its new Arab allies in an awkward spot,2023-01-04,36.0,0.07125118793263821,0.09452449834682572,0.07366093360281116,0.0022085589412526867,0,0,0,0
Israel's far-right Ben Gvir visits flashpoint Jerusalem holy site as Palestinians slam 'provocation',2023-01-03,37.0,0.045022546483034435,0.04980873679530553,0.04153235618088564,0.007349152661803154,0,0,0,0
Four things to watch out for in the Middle East in 2023,2023-01-02,38.0,0.14034080935212281,0.03745470681729225,0.03758909973100974,-0.01242225654081118,0,0,0,0
Benjamin Netanyahu sworn in as leader of Israel's likely most right-wing government ever,2022-12-29,39.0,0.16865234116487432,0.1962561598894271,0.15024301227690143,0.00686717696095141,0,0,0,0
Jordan king warns of 'red lines' in Jerusalem as Netanyahu returns to office,2022-12-28,40.0,0.031573756879090135,0.18428315911090598,0.1048977940150027,0.03657971872861549,0,0,0,0
"December 22, 2022 Russia-Ukraine news",2022-12-21,41.0,0.042261430789045526,0.21155105882630862,0.1530198057425087,0.0638981870965442,0,0,0,0
Netanyahu informs Israeli president he has formed government,2022-12-21,42.0,0.06548653757916047,0.17773552582814142,0.14139333181083202,0.06538756727744298,0,0,0,0
"Opinion: What 2022's elections taught me about humanity, politics and 'magic sauce'",2022-12-20,43.0,0.002640714248021444,0.035574306113024555,0.024284980492666364,0.009108202046132186,0,0,0,0
Will Erdogan finally deliver on his vow to invade northern Syria?,2022-11-25,44.0,0.03003111548007351,0.08698025718331337,0.033673560224498994,0.011015213112011736,0,0,0,0
Israeli President invites Netanyahu to form government,2022-11-13,45.0,0.26259314876049755,0.26896120484918357,0.18844563769176603,0.04028970657626895,0,0,0,0
"Netanyahu to be invited to form government, paving way for return of Israel's longest-serving leader",2022-11-11,46.0,0.19864444290895178,0.28179771730514325,0.12825349744652276,0.013685509774409028,0,0,0,0
Gulf Arab states can't give up oil. But they can slash their emissions,2022-11-11,47.0,0.026627004558800675,0.04874332933152308,0.02299032030535526,-0.0036894001125842945,0,0,0,0
Opinion: What Europe makes of America's election result,2022-11-09,48.0,0.004327814493860517,0.006576558521815708,0.017667055130004883,0.006047997914449002,0,0,0,0
How a rule change helped Netanyahu win Israel's elections,2022-11-07,49.0,0.08155822949331315,0.048529991116680084,0.05023965254792424,-0.0005296129604117909,0,0,0,0
Opinion: What a Netanyahu comeback means for Israel -- and the world,2022-11-03,50.0,0.25098768176341596,0.15191188347949222,0.2334640710275959,0.019415890833901318,0,0,0,0
Israel Prime Minister Yair Lapid congratulates Benjamin Netanyahu on election victory,2022-11-03,51.0,0.34482588010052073,0.2205226460041908,0.20388224543645406,0.0704673281297059,0,0,0,0
A far-right surge is set to put Netanyahu back in power. Who are his extremist allies?,2022-11-02,52.0,0.09904649564021722,0.16213231438467668,0.06440258316349151,-0.016905845388692806,0,0,0,0
Netanyahu is back. Here's what that means for Israel,2022-11-02,53.0,0.12236725607448641,0.06235835093813127,0.1388038070050671,0.01662130398944484,0,0,0,0
"Netanyahu on course to lead Israel's most right-wing government ever, partial Israel results suggest",2022-11-02,54.0,0.21871148546536764,0.09369798377156258,0.1637810066541923,-0.002989588560372906,0,0,0,0
"In Brazil and Israel, leaders show Trump there can be political next acts",2022-11-02,55.0,0.059262640211124755,0.024392229634835276,0.05588001304652628,0.0065666394722173425,0,0,0,0
Netanyahu on brink of comeback as Israeli exit polls point to narrow majority for ex-PM,2022-11-01,56.0,0.16525484674440866,0.0870940003290095,0.08856023848585953,0.023029257391278632,0,0,0,0
Netanyahu eyes comeback as Israel votes in fifth election in four years,2022-11-01,57.0,0.13856038078665733,0.13060302667471826,0.09818353247353617,-0.0002886147566977645,0,0,0,0
Netanyahu eyes extremist political support in comeback attempt,2022-10-28,58.0,0.25445400724955203,0.2916837329158207,0.18359199026914164,0.0022640673421256124,0,0,0,0
Gulf states use new oil riches to gain regional influence,2022-10-31,59.0,0.06007187946566513,0.029173604625144175,0.01075451668751027,-0.005668183995488923,0,0,0,0
Five elections in four years: What's the deal with Israeli politics?,2022-10-30,60.0,0.15915592289751485,0.06646938965700212,0.08389849532839089,0.0030062586338169403,0,0,0,0
The world leaders who refuse to leave the stage,2022-10-27,61.0,0.05192733737122682,0.007630899548530579,0.05155287010388242,0.0006842963126542244,0,0,0,0
5 ways the Israel-Lebanon maritime deal matters,2022-10-12,62.0,0.011624466889770702,0.03336582239717245,0.03313471103319898,0.0038137626703000577,0,0,0,0
Opinion: Jared Kushner settles a few scores,2022-08-29,63.0,0.010602046735584736,0.003570841159671545,0.001452112221159041,-0.004085050672775654,0,0,0,0
Why Hamas stayed out of the latest Gaza conflict,2022-08-08,64.0,0.013784976496377535,0.03937875597100509,0.017011706848024277,0.005632846473360297,0,0,0,0
Israel's Prime Minister makes rare allusion to country's nuclear weapons arsenal,2022-08-02,65.0,0.06518638730049134,0.03342450559139252,0.0013891099020838737,-0.04023741376544428,0,0,0,0
Why Joe Biden's fist bump with MBS was such a disaster,2022-07-17,66.0,0.0056986575946211815,0.021101173013448715,0.004450170788913965,-0.0016844161863108172,0,0,0,0
Opinion: Biden's risky fist bump with MBS,2022-07-17,67.0,0.0013614904248353207,0.01061858462564873,0.0031714398752559314,0.0025134766577781125,0,0,0,0
Biden tries to ease worries over US commitment to the Middle East in meetings with key leaders,2022-07-16,68.0,0.015392390489578247,0.004413581490516663,0.00019402777776122092,-0.006467220248457846,0,0,0,0
Saudi Arabia opens airspace to Israeli flights,2022-07-15,69.0,0.04275664024882846,0.012259948584768508,0.0005389660493367248,-0.017964500690160687,0,0,0,0
A 'Middle East NATO'? Why Iran is closely watching Biden's regional trip,2022-07-15,70.0,0.0032231336734979085,0.0666485974486445,0.014635310495193576,0.014704484476429185,0,0,0,0
"Biden says diplomacy is still the best way to keep Iran from getting a nuclear weapon, despite Israeli skepticism",2022-07-14,71.0,0.02591986103767627,0.02614429568577754,0.0005674213661175026,-0.00010091358755591646,0,0,0,0
Fist bumps instead of handshakes: Biden looks to 'minimize contact' in Israel and Saudi Arabia,2022-07-13,72.0,0.0018917774515492575,0.0257580429315567,0.008064465863364083,0.008723802702305251,0,0,0,0
What not to expect from Biden's Jerusalem trip,2022-07-11,73.0,0.024408732459920902,0.03496297286904376,0.013092065000555653,-0.008093012027494451,0,0,0,0
Opinion: Biden is heading to the Middle East for one simple reason,2022-07-10,74.0,0.030892198648432206,0.03026243421281206,0.025052263176646727,0.003023651065040728,0,0,0,0
"July 9, 2022 Shinzo Abe assassination news",2022-07-08,75.0,4.108437385998274e-05,0.000630649401430498,0.002837038249300237,0.0009784468998494645,0,0,0,0
Naftali Bennett Fast Facts,2021-06-30,76.0,0.018836572828392188,0.03807763010263443,0.009752462928493818,-0.00282195106206308,0,0,0,0
"July 8, 2022 Shinzo Abe shot dead in Nara, Japan",2022-07-08,77.0,2.5962409201984658e-05,0.00039852567496162294,0.001792806875943609,0.000618309016534584,0,0,0,0
Israeli and Palestinian leaders speak by phone for the first time in years,2022-07-08,78.0,0.08021147052447002,0.0027007690320412316,0.0004210858217750986,-0.005165259496829632,0,0,0,0
A leader for all Israelis? Yair Lapid takes over as caretaker prime minister,2022-07-01,79.0,0.10200012667337433,0.04724084082408808,0.02263403141114395,-0.007071604566474718,0,0,0,0
"Israeli parliament votes to dissolve, triggering fifth election in four years",2022-06-30,80.0,0.06679479816161535,0.043079752858509034,0.06659604009131298,0.01647719632993225,0,0,0,0
