title,date,index,neg_s,neu_s,pos_s,compound_s,pos,neg,neu,compound
"About 160,000 people protest against Netanyahu's judicial overhaul in Tel Aviv",2023-02-26,0.0,0.7344985352829099,0.17487238987814635,0.09062911418732256,-0.563375059742856,0,0,0,0
11 Palestinians killed during Israeli raid targeting militants in West Bank,2023-02-22,1.0,0.05691397376358509,0.19428073428571224,0.7488053441047668,0.9985939046633222,0,0,0,0
Your flight from Israel might be about to get quicker. Here's why,2023-02-23,2.0,0.00792231922969222,0.6940928598244985,0.29798482172191143,0.5979241326630648,0,0,0,0
Israel launches airstrikes on Gaza after rocket attacks as violence escalates,2023-02-23,3.0,0.04598119777316848,0.44927777039508027,0.5047410363331437,0.7682859374213956,0,0,0,0
Opinion: Netanyahu's 'reforms' are threatening the very foundations of Israel's democracy,2023-02-21,4.0,0.39511731890961527,0.38676662407815454,0.21811607277486472,-0.23130483365604032,0,0,0,0
Space pods and flying dragons: How Saudi Arabia wants to transform its capital,2023-02-20,5.0,0.13260217010974884,0.8541373610496521,0.013260513544082642,-0.2723901434727511,0,0,0,0
Protests across Israel as Netanyahu's government introduces bill to weaken courts,2023-02-20,6.0,0.1484100427478552,0.5176839062145778,0.3339060533658734,0.418707645454217,0,0,0,0
Thousands protest Netanyahu's plan to weaken Israel's judiciary as president warns of 'social collapse',2023-02-13,7.0,0.3540445690353711,0.414191102841869,0.23176431042763093,0.02795381172334736,0,0,0,0
Second child dies in car ramming attack in Jerusalem,2023-02-10,8.0,0.01515160035341978,0.9505195617675781,0.03432890400290489,0.04032931652940539,0,0,0,0
Opinion: Mitt Romney's moments of truth,2023-02-12,9.0,0.959807813167572,0.03229623660445213,0.007895938120782375,-1.0,0,0,0,0
Opinion: Why Netanyahu is suddenly a lot less friendly with Putin,2023-02-07,10.0,0.1458693646515409,0.553845701029613,0.30028492205643226,0.3152890448891552,0,0,0,0
Powerful quake kills thousands in Turkey and Syria,2023-02-06,11.0,0.02042475504362408,0.6279521457412663,0.351623101543416,0.541952461510738,0,0,0,0
"5 things to know for February 2: Ice storm, Debt limit, Middle East, Abortion, Crypto",2023-02-02,12.0,0.01873515173792839,0.5415141880512238,0.4397506397217512,0.5378167906518821,0,0,0,0
Israel targets Gaza with airstrikes after intercepting rocket attack,2023-02-02,13.0,0.8980667591094971,0.06921463459730148,0.032718583941459656,-1.0,0,0,0,0
"February 1, 2023 Russia-Ukraine news",2023-01-31,14.0,0.08153565216614583,0.6444884573737549,0.2739758852782638,0.3366170071121586,0,0,0,0
"Opinion: Netanyahu wants peace, but offers few solutions",2023-02-01,15.0,0.1886566606699489,0.46285823243670166,0.3484850794047816,0.28260827113872655,0,0,0,0
Netanyahu outlines vision for two-state solution -- without Palestinian sovereignty,2023-02-01,16.0,0.22326103256394467,0.4901020698958919,0.2866368950012007,0.2112956065165743,0,0,0,0
"'It's all empty promises': Palestinians feel betrayed by US, warn there's only so much they can bear",2023-02-01,17.0,0.027503613848239183,0.4931970611214638,0.47929929941892624,0.9320728082168402,0,0,0,0
Exclusive: Netanyahu says don't get 'hung up' on peace with Palestinians first,2023-01-31,18.0,0.4118450475407058,0.39958517401125926,0.18856977194483424,-0.22168336815071998,0,0,0,0
"Blinken visit reaches new urgency as Israeli, Palestinian tensions boil",2023-01-30,19.0,0.4507691726709406,0.3729235250502825,0.17630733673771223,-0.28396983546620014,0,0,0,0
Antony Blinken Fast Facts,2021-02-25,20.0,0.008620335720479488,0.8289183378219604,0.1624613255262375,0.3550277072607554,0,0,0,0
"Settlements to be 'strengthened' in wake of Jerusalem attacks, Israeli PM says",2023-01-29,21.0,0.03203838815291723,0.681785653034846,0.2861759786804517,0.421791095778089,0,0,0,0
"Two wounded in shooting in Jerusalem, police say, after synagogue attack leaves seven dead",2023-01-28,22.0,0.016858965779344242,0.7194304664929708,0.26371058573325473,0.5770442245731741,0,0,0,0
"At least seven dead in Jerusalem synagogue attack, Israeli police say",2023-01-27,23.0,0.02487528199950854,0.7227468490600586,0.2523778850833575,0.5498002256165166,0,0,0,0
Blinken to visit Israel and West Bank with tensions high after outbreak of violence,2023-01-27,24.0,0.41325141383068903,0.5331959721765348,0.05355261878243515,-0.3817287582250288,0,0,0,0
"As Israel bans Palestinian flags, one artist protests with his brush",2023-01-25,25.0,0.30652367981383577,0.531967967748642,0.1615083811338991,-0.263567434141014,0,0,0,0
Iran's regime is trying to execute its way out of trouble,2023-01-23,26.0,0.331540921702981,0.353531077504158,0.3149279512775441,0.09165865767666304,0,0,0,0
US and Israel launch largest military exercise ever despite concerns over Netanyahu's government,2023-01-23,27.0,0.3489306286709117,0.44571773282119204,0.20535163687808172,-0.06909702444449921,0,0,0,0
Netanyahu dismisses key ally Aryeh Deri after High Court order,2023-01-22,28.0,0.6509789628908038,0.25248822709545493,0.09653281152714044,-0.5628862756825933,0,0,0,0
Israel's democracy on the brink amid supreme court showdown with Netanyahu,2023-01-20,29.0,0.5253330196253956,0.3489800777286291,0.125686903425958,-0.3969346753694017,0,0,0,0
"Jacinda Ardern, like George Washington, knew when to quit",2023-01-20,30.0,0.6216204166412354,0.10754461586475372,0.2708349823951721,-0.9999956871917902,0,0,0,0
"Key Netanyahu ally cannot serve as cabinet minister, Israel's top court rules, sparking potential political crisis",2023-01-18,31.0,0.5866869314174566,0.21182303077408246,0.20149003386281297,-0.38095416823627287,0,0,0,0
US has moved munitions stored in Israel for use by Ukraine,2023-01-18,32.0,0.005840395577251911,0.9566878080368042,0.03747178241610527,0.06603065608422633,0,0,0,0
A major oil exporter is hosting a UN climate summit. Opinions are divided,2023-01-16,33.0,0.8288725018501282,0.14157382398843765,0.029553663296004135,-0.9999277373073835,0,0,0,0
"More than 80,000 people turn out for Tel Aviv protest against Netanyahu government",2023-01-14,34.0,0.6865003705024719,0.24181073531508446,0.07168888851689796,-0.9540841074849281,0,0,0,0
Opinion: Don't expect Biden to confront Netanyahu anytime soon,2023-01-04,35.0,0.49775917874649167,0.2999063002644107,0.20233452510243902,-0.45248039459693673,0,0,0,0
Israel's rightward shift leaves its new Arab allies in an awkward spot,2023-01-04,36.0,0.297578490777489,0.3947787872132133,0.3076427226940937,0.02828293222134451,0,0,0,0
Israel's far-right Ben Gvir visits flashpoint Jerusalem holy site as Palestinians slam 'provocation',2023-01-03,37.0,0.33016534087558586,0.3652640698322405,0.3045706119931613,0.014535660871403308,0,0,0,0
