title,date,index,neg_lbl,pos_lbl,neu_lbl,neg_s,neu_s,pos_s,compound_s,pos,neg,neu,compound
Why Biden is only just about to face his first veto,2023-03-03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
DOJ ramps up its allegations that Texas is 'judge-shopping' in cases against Biden,2023-03-03,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Michigan threats deepen America's dangerous nexus between antisemitism and political violence,2023-03-03,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Fair and Balanced? Murdoch's private messages show Fox News was instructed to help Republicans,2023-03-03,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Jim Jordan's first FBI whistleblowers face scrutiny from skeptical Democrats,2023-03-03,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Opinion: How a third party could unintentionally lead to a Trump 2024 victory,2023-03-02,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Justice Department pushes back on Trump's sweeping claims of presidential immunity for January 6 speech,2023-03-02,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Five times Chris Rock said the thing out loud,2023-03-02,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"DeSantis says GOP will not 'mess with Social Security,' as Democrats and Trump slam his past support for privatization",2023-03-02,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
White House releases ambitious cyber strategy calling for more regulation of vulnerable sectors,2023-03-02,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Opinion: What went right and wrong on Covid,2023-03-01,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Fact check: Zelensky didn't say American sons and daughters have to fight in Ukraine,2023-03-02,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Opinion: The recipe for Ron DeSantis' success,2023-03-02,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Dueling CPAC and Club for Growth events highlight divide within GOP ahead of 2024,2023-03-02,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Biden's first-ever veto might be against the GOP war on 'woke' capitalism,2023-03-02,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Opinion: Lori Lightfoot's fatal political mistake,2023-03-01,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
A lot of conservative 'churn' as Fox News is unmasked,2023-03-01,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Takeaways from Attorney General Merrick Garland's Senate Judiciary Committee hearing,2023-03-01,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Opinion: Ron DeSantis' new book offers a powerful warning to the US electorate,2023-03-01,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Colorado discipline office moves toward ethics complaint against ex-Trump attorney for 2020 election gambits,2023-02-24,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Paul Ryan grilled for remaining on Fox board of directors amid election fraud revelations,2023-03-01,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
The best moments from Tapper's one-on-one with Bill Maher,2023-03-01,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Fact check: Marjorie Taylor Greene falsely claims Biden administration is responsible for Michigan brothers' fentanyl deaths during Trump administration,2023-03-01,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Near bomb-grade level uranium found in Iranian nuclear plant, says IAEA report",2023-03-01,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
